depth,PAR_ADJUSTED
0.0,392.7471
5.0,154.4168
10.0,63.1883
15.0,31.8956
20.0,14.7794
25.0,7.4695
30.0,3.572
35.0,1.7412
40.0,0.8513
45.0,0.39
50.0,0.2179
55.0,0.1164
60.0,0.0647
65.0,0.0385
70.0,0.0239
75.0,0.0146
80.0,0.0101
85.0,0.0073
90.0,0.0045
95.0,0.0038
100.0,0.003
105.0,0.0021
110.0,0.0016
115.0,0.0015
120.0,0.0012
125.0,0.001
130.0,0.001
135.0,0.0009
140.0,0.0008
145.0,0.0007
150.0,0.0007
155.0,0.0007
160.0,0.0007
165.0,0.0006
170.0,0.0006
175.0,0.0005
180.0,0.0005
185.0,0.0006
190.0,0.0006
195.0,0.0006
200.0,0.0007
205.0,0.0007
210.0,0.0008
215.0,0.0006
220.0,0.0007
225.0,0.0008
230.0,0.0009
235.0,0.0009
240.0,0.0009
245.0,0.001
250.0,0.0011
