depth,PAR_ADJUSTED
0.0,158.9812
5.0,82.773
10.0,33.9949
15.0,20.3562
20.0,10.1819
25.0,6.8881
30.0,3.5493
35.0,2.3551
40.0,1.2962
45.0,0.7066
50.0,0.4081
55.0,0.2816
60.0,0.2034
65.0,0.1002
70.0,0.0935
75.0,0.0609
80.0,0.0439
85.0,0.0318
90.0,0.0239
95.0,0.0203
100.0,0.0162
105.0,0.0146
110.0,0.0092
115.0,0.0059
120.0,0.0038
125.0,0.0055
130.0,0.004
135.0,0.0031
140.0,0.0032
145.0,0.0023
150.0,0.0021
155.0,0.0018
160.0,0.002
165.0,0.0018
170.0,0.0016
175.0,0.0015
180.0,0.0012
185.0,0.0015
190.0,0.0015
195.0,0.003
200.0,0.0028
205.0,0.003
210.0,0.0031
215.0,0.0025
220.0,0.0039
225.0,0.0037
230.0,0.0045
235.0,0.0037
240.0,0.0037
245.0,0.0034
250.0,0.0019
