depth,PAR_ADJUSTED
0.0,274.643
5.0,109.9864
10.0,45.0771
15.0,21.3163
20.0,9.956
25.0,5.0937
30.0,2.6306
35.0,1.2288
40.0,0.594
45.0,0.3161
50.0,0.181
55.0,0.0978
60.0,0.0633
65.0,0.0401
70.0,0.0286
75.0,0.0201
80.0,0.0143
85.0,0.011
90.0,0.0087
95.0,0.0072
100.0,0.0061
105.0,0.0046
110.0,0.0036
115.0,0.0031
120.0,0.0024
125.0,0.0024
130.0,0.0023
135.0,0.0022
140.0,0.0017
145.0,0.0015
150.0,0.0015
155.0,0.0012
160.0,0.0013
165.0,0.0011
170.0,0.0011
175.0,0.0009
180.0,0.0009
185.0,0.001
190.0,0.001
195.0,0.0011
200.0,0.001
205.0,0.001
210.0,0.0011
215.0,0.001
220.0,0.0011
225.0,0.0011
230.0,0.0012
235.0,0.0014
240.0,0.0013
245.0,0.0014
250.0,0.0016
