depth,PAR_ADJUSTED
0.0,111.153
5.0,63.9182
10.0,32.9017
15.0,22.353
20.0,11.9346
25.0,9.2974
30.0,5.4001
35.0,4.5559
40.0,2.6244
45.0,1.9515
50.0,1.3279
55.0,0.8983
60.0,0.6694
65.0,0.4428
70.0,0.359
75.0,0.2505
80.0,0.1862
85.0,0.1184
90.0,0.09
95.0,0.0765
100.0,0.0551
105.0,0.0477
110.0,0.0345
115.0,0.0237
120.0,0.0208
125.0,0.021
130.0,0.0145
135.0,0.0147
140.0,0.0109
145.0,0.0083
150.0,0.0078
155.0,0.0059
160.0,0.0059
165.0,0.0056
170.0,0.0052
175.0,0.0043
180.0,0.0033
185.0,0.0045
190.0,0.0039
195.0,0.0046
200.0,0.0052
205.0,0.0051
210.0,0.0053
215.0,0.0037
220.0,0.0052
225.0,0.0046
230.0,0.0044
235.0,0.0046
240.0,0.0039
245.0,0.0037
250.0,0.0033
