depth,PAR_ADJUSTED
0.0,189.7839
5.0,107.5018
10.0,69.1402
15.0,46.1022
20.0,27.4413
25.0,23.1645
30.0,14.1416
35.0,12.0366
40.0,8.3766
45.0,7.1391
50.0,4.8696
55.0,3.0918
60.0,2.7835
65.0,1.5941
70.0,1.1218
75.0,0.6882
80.0,0.4755
85.0,0.2947
90.0,0.2048
95.0,0.1448
100.0,0.1055
105.0,0.0772
110.0,0.0413
115.0,0.0302
120.0,0.0185
125.0,0.0174
130.0,0.0126
135.0,0.008
140.0,0.0067
145.0,0.0041
150.0,0.0038
155.0,0.0033
160.0,0.0026
165.0,0.0024
170.0,0.002
175.0,0.0017
180.0,0.0014
185.0,0.0012
190.0,0.0013
195.0,0.0019
200.0,0.002
205.0,0.0019
210.0,0.0017
215.0,0.0014
220.0,0.0021
225.0,0.002
230.0,0.0023
235.0,0.0015
240.0,0.0015
245.0,0.0017
250.0,0.0011
