depth,PAR_ADJUSTED
0.0,185.2782
5.0,103.9316
10.0,62.8497
15.0,42.6216
20.0,25.064
25.0,20.7181
30.0,13.0084
35.0,10.4419
40.0,7.279
45.0,5.9713
50.0,4.0894
55.0,2.8216
60.0,2.4463
65.0,1.4102
70.0,1.0751
75.0,0.6559
80.0,0.455
85.0,0.2859
90.0,0.1973
95.0,0.1392
100.0,0.0999
105.0,0.0721
110.0,0.0381
115.0,0.0285
120.0,0.0175
125.0,0.0159
130.0,0.0117
135.0,0.0074
140.0,0.0063
145.0,0.004
150.0,0.0036
155.0,0.0033
160.0,0.0026
165.0,0.0025
170.0,0.002
175.0,0.0016
180.0,0.0014
185.0,0.0011
190.0,0.0014
195.0,0.0017
200.0,0.002
205.0,0.0017
210.0,0.0016
215.0,0.0014
220.0,0.0019
225.0,0.0019
230.0,0.0021
235.0,0.0014
240.0,0.0013
245.0,0.0016
250.0,0.001
