depth,PAR_ADJUSTED
0.0,492.1412
5.0,256.2069
10.0,150.3076
15.0,94.6616
20.0,56.0054
25.0,39.5879
30.0,26.4144
35.0,17.9554
40.0,10.7552
45.0,8.1193
50.0,5.071
55.0,3.5082
60.0,2.4822
65.0,1.3832
70.0,0.9631
75.0,0.6093
80.0,0.4129
85.0,0.2736
90.0,0.1715
95.0,0.1338
100.0,0.0815
105.0,0.0649
110.0,0.0417
115.0,0.0351
120.0,0.0223
125.0,0.0207
130.0,0.0142
135.0,0.0109
140.0,0.0106
145.0,0.0076
150.0,0.0063
155.0,0.0058
160.0,0.005
165.0,0.004
170.0,0.0034
175.0,0.0024
180.0,0.0024
185.0,0.002
190.0,0.0021
195.0,0.0021
200.0,0.0022
205.0,0.002
210.0,0.002
215.0,0.0016
220.0,0.0017
225.0,0.0017
230.0,0.0018
235.0,0.0012
240.0,0.0013
245.0,0.0013
250.0,0.0011
