depth,PAR_ADJUSTED
0.0,344.8906
5.0,175.5634
10.0,101.5879
15.0,62.8729
20.0,39.6822
25.0,25.8756
30.0,17.4827
35.0,11.6106
40.0,7.8513
45.0,5.6546
50.0,3.7995
55.0,2.7002
60.0,1.9738
65.0,1.3868
70.0,1.0722
75.0,0.8002
80.0,0.6373
85.0,0.4781
90.0,0.3708
95.0,0.282
100.0,0.2214
105.0,0.1739
110.0,0.1426
115.0,0.1144
120.0,0.0883
125.0,0.076
130.0,0.0626
135.0,0.0501
140.0,0.0434
145.0,0.0374
150.0,0.0352
155.0,0.0286
160.0,0.0252
165.0,0.0209
170.0,0.0202
175.0,0.0182
180.0,0.0164
185.0,0.0162
190.0,0.0137
195.0,0.0129
200.0,0.0138
205.0,0.0125
210.0,0.0115
215.0,0.0105
220.0,0.0092
225.0,0.0092
230.0,0.0083
235.0,0.009
240.0,0.0092
245.0,0.0088
250.0,0.0087
