depth,PAR_ADJUSTED
0.0,199.1539
5.0,96.8015
10.0,50.8602
15.0,31.7585
20.0,16.5995
25.0,11.1133
30.0,6.7073
35.0,4.4653
40.0,2.6918
45.0,1.6731
50.0,0.8996
55.0,0.7137
60.0,0.4652
65.0,0.2497
70.0,0.1859
75.0,0.1235
80.0,0.0802
85.0,0.0445
90.0,0.0291
95.0,0.023
100.0,0.0156
105.0,0.0108
110.0,0.0068
115.0,0.0051
120.0,0.0031
125.0,0.0028
130.0,0.0019
135.0,0.0013
140.0,0.0011
145.0,0.0008
150.0,0.0008
155.0,0.0006
160.0,0.0005
165.0,0.0005
170.0,0.0005
175.0,0.0004
180.0,0.0003
185.0,0.0003
190.0,0.0003
195.0,0.0004
200.0,0.0006
205.0,0.0005
210.0,0.0007
215.0,0.0005
220.0,0.0006
225.0,0.0006
230.0,0.0007
235.0,0.0006
240.0,0.0006
245.0,0.0007
250.0,0.0006
