depth,PAR_ADJUSTED
0.0,232.6998
5.0,121.2091
10.0,68.5856
15.0,45.1143
20.0,24.5557
25.0,18.7899
30.0,12.3693
35.0,8.8859
40.0,5.9056
45.0,4.0734
50.0,2.428
55.0,2.1762
60.0,1.4064
65.0,0.8046
70.0,0.595
75.0,0.4088
80.0,0.2946
85.0,0.1685
90.0,0.1181
95.0,0.096
100.0,0.0633
105.0,0.0442
110.0,0.0291
115.0,0.0261
120.0,0.0146
125.0,0.0124
130.0,0.0091
135.0,0.0059
140.0,0.0057
145.0,0.0039
150.0,0.0033
155.0,0.0025
160.0,0.0022
165.0,0.002
170.0,0.0017
175.0,0.0013
180.0,0.0012
185.0,0.001
190.0,0.0011
195.0,0.0012
200.0,0.0014
205.0,0.0014
210.0,0.0014
215.0,0.0012
220.0,0.0014
225.0,0.0014
230.0,0.0015
235.0,0.0012
240.0,0.0015
245.0,0.0016
250.0,0.0012
