depth,PAR_ADJUSTED
0.0,229.5683
5.0,117.9288
10.0,65.5527
15.0,42.1541
20.0,22.5903
25.0,16.7814
30.0,10.7642
35.0,7.4665
40.0,4.8621
45.0,3.2379
50.0,1.8888
55.0,1.6387
60.0,1.0435
65.0,0.5776
70.0,0.4218
75.0,0.2913
80.0,0.2044
85.0,0.1169
90.0,0.0792
95.0,0.0643
100.0,0.0429
105.0,0.0298
110.0,0.0193
115.0,0.0167
120.0,0.0095
125.0,0.0082
130.0,0.0059
135.0,0.0039
140.0,0.0036
145.0,0.0025
150.0,0.0022
155.0,0.0017
160.0,0.0015
165.0,0.0014
170.0,0.0011
175.0,0.0009
180.0,0.0008
185.0,0.0007
190.0,0.0008
195.0,0.0009
200.0,0.0011
205.0,0.0011
210.0,0.0011
215.0,0.0009
220.0,0.001
225.0,0.0011
230.0,0.0011
235.0,0.001
240.0,0.0012
245.0,0.0012
250.0,0.001
