depth,PAR_ADJUSTED
0.0,481.7789
5.0,252.5324
10.0,153.6631
15.0,90.5398
20.0,52.7004
25.0,37.8249
30.0,22.5623
35.0,15.9712
40.0,9.5924
45.0,7.6628
50.0,4.552
55.0,2.7578
60.0,2.2221
65.0,1.2591
70.0,0.7486
75.0,0.5161
80.0,0.3298
85.0,0.2029
90.0,0.1494
95.0,0.1072
100.0,0.0715
105.0,0.0607
110.0,0.0372
115.0,0.0292
120.0,0.0185
125.0,0.0176
130.0,0.0117
135.0,0.0083
140.0,0.0076
145.0,0.0059
150.0,0.0044
155.0,0.0039
160.0,0.0034
165.0,0.0026
170.0,0.0021
175.0,0.0017
180.0,0.0015
185.0,0.0013
190.0,0.0014
195.0,0.0015
200.0,0.0016
205.0,0.0015
210.0,0.0016
215.0,0.0012
220.0,0.0013
225.0,0.0014
230.0,0.0016
235.0,0.001
240.0,0.0011
245.0,0.0012
250.0,0.0009
