depth,PAR_ADJUSTED
0.0,1497.3502
5.0,957.7208
10.0,722.4635
15.0,588.3433
20.0,496.4523
25.0,420.5401
30.0,344.9215
35.0,299.9556
40.0,263.5367
45.0,237.8207
50.0,198.4277
55.0,174.2207
60.0,138.6618
65.0,115.655
70.0,97.861
75.0,75.6926
80.0,60.9003
85.0,47.6891
90.0,38.9486
95.0,30.3862
100.0,22.9573
105.0,18.6555
110.0,14.4551
115.0,11.3641
120.0,8.4862
125.0,6.5955
130.0,5.3658
135.0,4.0646
140.0,3.1715
145.0,2.5712
150.0,2.1209
155.0,1.6885
160.0,1.3856
165.0,1.0897
170.0,0.9213
175.0,0.7576
180.0,0.6401
185.0,0.5055
190.0,0.4209
195.0,0.3495
200.0,0.3116
205.0,0.2468
210.0,0.2149
215.0,0.1861
220.0,0.1531
225.0,0.1296
230.0,0.1092
235.0,0.094
240.0,0.0791
245.0,0.0638
250.0,0.0601
