depth,PAR_ADJUSTED
0.0,184.2616
5.0,94.2282
10.0,53.7846
15.0,34.8346
20.0,20.5661
25.0,14.5828
30.0,9.8613
35.0,6.7369
40.0,4.7483
45.0,3.1565
50.0,2.0344
55.0,1.6786
60.0,1.1544
65.0,0.6942
70.0,0.5414
75.0,0.3938
80.0,0.3157
85.0,0.1906
90.0,0.1399
95.0,0.113
100.0,0.079
105.0,0.0574
110.0,0.041
115.0,0.0356
120.0,0.0212
125.0,0.0185
130.0,0.0149
135.0,0.0107
140.0,0.0091
145.0,0.0064
150.0,0.006
155.0,0.0047
160.0,0.004
165.0,0.0039
170.0,0.0034
175.0,0.0029
180.0,0.0026
185.0,0.0023
190.0,0.0023
195.0,0.0025
200.0,0.0033
205.0,0.0028
210.0,0.003
215.0,0.0024
220.0,0.0028
225.0,0.0027
230.0,0.0028
235.0,0.0025
240.0,0.003
245.0,0.0032
250.0,0.0026
