depth,PAR_ADJUSTED
0.0,765.5085
5.0,369.1026
10.0,204.4023
15.0,114.8854
20.0,71.0303
25.0,41.3321
30.0,25.4805
35.0,15.3109
40.0,9.3459
45.0,5.5606
50.0,3.4987
55.0,2.1516
60.0,1.3949
65.0,0.9235
70.0,0.5948
75.0,0.4327
80.0,0.2993
85.0,0.2068
90.0,0.1487
95.0,0.1135
100.0,0.0844
105.0,0.0625
110.0,0.0485
115.0,0.0414
120.0,0.0317
125.0,0.0257
130.0,0.0214
135.0,0.0172
140.0,0.0146
145.0,0.0119
150.0,0.0107
155.0,0.0082
160.0,0.0079
165.0,0.0063
170.0,0.006
175.0,0.0047
180.0,0.0041
185.0,0.0039
190.0,0.0037
195.0,0.0033
200.0,0.0029
205.0,0.0025
210.0,0.0028
215.0,0.0022
220.0,0.0023
225.0,0.0023
230.0,0.0021
235.0,0.002
240.0,0.0024
245.0,0.0023
250.0,0.0022
