depth,PAR_ADJUSTED
0.0,140.0703
5.0,65.9678
10.0,27.7742
15.0,14.5692
20.0,6.6472
25.0,3.8693
30.0,1.7752
35.0,1.2524
40.0,0.5827
45.0,0.3063
50.0,0.1932
55.0,0.1066
60.0,0.0699
65.0,0.0365
70.0,0.0267
75.0,0.0171
80.0,0.0126
85.0,0.0078
90.0,0.0048
95.0,0.0046
100.0,0.0034
105.0,0.0025
110.0,0.0019
115.0,0.0015
120.0,0.0011
125.0,0.0011
130.0,0.0009
135.0,0.0008
140.0,0.0007
145.0,0.0006
150.0,0.0005
155.0,0.0005
160.0,0.0004
165.0,0.0004
170.0,0.0004
175.0,0.0003
180.0,0.0003
185.0,0.0003
190.0,0.0003
195.0,0.0004
200.0,0.0004
205.0,0.0004
210.0,0.0005
215.0,0.0003
220.0,0.0004
225.0,0.0005
230.0,0.0004
235.0,0.0005
240.0,0.0004
245.0,0.0004
250.0,0.0004
