depth,PAR_ADJUSTED
0.0,135.0932
5.0,73.3996
10.0,38.3408
15.0,22.5946
20.0,11.6591
25.0,8.4157
30.0,4.4599
35.0,3.8053
40.0,2.0473
45.0,1.2747
50.0,0.944
55.0,0.5624
60.0,0.4193
65.0,0.2421
70.0,0.1861
75.0,0.117
80.0,0.0818
85.0,0.051
90.0,0.0329
95.0,0.0281
100.0,0.0195
105.0,0.0139
110.0,0.0101
115.0,0.0069
120.0,0.005
125.0,0.005
130.0,0.0036
135.0,0.003
140.0,0.0022
145.0,0.0016
150.0,0.0015
155.0,0.0012
160.0,0.001
165.0,0.001
170.0,0.0009
175.0,0.0007
180.0,0.0005
185.0,0.0007
190.0,0.0006
195.0,0.0008
200.0,0.0007
205.0,0.0006
210.0,0.0007
215.0,0.0005
220.0,0.0007
225.0,0.0007
230.0,0.0007
235.0,0.0007
240.0,0.0006
245.0,0.0006
250.0,0.0004
