depth,PAR_ADJUSTED
0.0,406.9588
5.0,195.0811
10.0,101.9052
15.0,60.7145
20.0,30.6984
25.0,20.2708
30.0,11.3537
35.0,7.5382
40.0,4.3434
45.0,2.7782
50.0,1.7225
55.0,1.1003
60.0,0.7792
65.0,0.4366
70.0,0.2741
75.0,0.1742
80.0,0.1175
85.0,0.072
90.0,0.051
95.0,0.0379
100.0,0.0257
105.0,0.0209
110.0,0.0134
115.0,0.0111
120.0,0.0068
125.0,0.0063
130.0,0.0049
135.0,0.0034
140.0,0.0031
145.0,0.0025
150.0,0.0021
155.0,0.0019
160.0,0.0016
165.0,0.0014
170.0,0.0012
175.0,0.0009
180.0,0.0008
185.0,0.0007
190.0,0.0008
195.0,0.0009
200.0,0.0009
205.0,0.0009
210.0,0.001
215.0,0.0008
220.0,0.0008
225.0,0.0009
230.0,0.001
235.0,0.0007
240.0,0.0008
245.0,0.0008
250.0,0.0007
