all_tagID,all_profn,all_dates,all_lats,all_lons
ct182_865F_24,1,24-Jan-2025 10:00:00,-49.5598,70.3596
ct182_865F_24,2,24-Jan-2025 11:10:00,-49.58,70.3964
ct182_865F_24,3,24-Jan-2025 15:50:00,-49.9602,70.6291
ct182_865F_24,4,24-Jan-2025 17:50:00,-50.0175,70.6724
ct182_865F_24,5,24-Jan-2025 19:30:00,-50.0387,70.7835
ct182_865F_24,6,25-Jan-2025 02:40:00,-50.4035,70.9532
ct182_865F_24,7,25-Jan-2025 14:50:00,-50.7647,71.6812
ct182_865F_24,8,26-Jan-2025 02:10:00,-51.1433,72.1528
ct182_865F_24,9,26-Jan-2025 20:10:00,-51.9319,73.1725
ct182_865F_24,10,26-Jan-2025 20:30:00,-51.9496,73.193
ct182_865F_24,11,27-Jan-2025 03:10:00,-52.1673,73.5113
ct182_865F_24,12,27-Jan-2025 20:10:00,-52.5736,74.3089
ct182_865F_24,13,28-Jan-2025 03:20:00,-52.7739,74.6771
ct182_865F_24,14,28-Jan-2025 04:00:00,-52.7796,74.7138
ct182_865F_24,15,29-Jan-2025 03:20:00,-53.6803,76.3126
ct182_865F_24,16,29-Jan-2025 06:00:00,-53.81,76.3239
ct182_865F_24,17,29-Jan-2025 12:00:00,-54.0587,76.5463
ct182_865F_24,18,30-Jan-2025 03:30:00,-54.4402,77.1595
ct182_865F_24,19,30-Jan-2025 08:00:00,-54.5535,77.3478
ct182_865F_24,20,30-Jan-2025 15:10:00,-54.7682,77.8958
ct182_865F_24,21,30-Jan-2025 23:10:00,-54.9482,78.2358
ct182_865F_24,22,31-Jan-2025 03:10:00,-55.1132,78.5136
ct182_865F_24,23,31-Jan-2025 07:40:00,-55.1277,78.8568
ct182_865F_24,24,31-Jan-2025 15:10:00,-55.2523,79.3699
ct182_865F_24,25,31-Jan-2025 16:20:00,-55.3219,79.3623
ct182_865F_24,26,31-Jan-2025 20:30:00,-55.5531,79.4672
ct182_865F_24,27,01-Feb-2025 03:10:00,-55.7016,79.8222
ct182_865F_24,28,01-Feb-2025 03:40:00,-55.7282,79.8148
ct182_865F_24,29,01-Feb-2025 16:30:00,-56.3236,80.4658
ct182_865F_24,30,02-Feb-2025 02:20:00,-56.4254,81.0446
