SEALTAG_NC_FILE,TAG_ID,PROFILE_NUM,RRS412,RRS443,RRS490,RRS555,RRS670,KD490,PAR
/Volumes/Data/Work/SEALTAGS/Prydz/ct182/v5_20251106/PROCESSED/NC/ct182-865F-24_hr1_prof_PROCESSED.nc,ct182-865F-24,6,0.005630572,0.004722858,0.004659144,0.003927715,0.001060573,0.114874996,51.76622009
/Volumes/Data/Work/SEALTAGS/Prydz/ct182/v5_20251106/PROCESSED/NC/ct182-865F-24_hr1_prof_PROCESSED.nc,ct182-865F-24,15,0.010721142,0.009036003,0.007967144,0.003002286,0.000352572,0.05092857,57.30266571
/Volumes/Data/Work/SEALTAGS/Prydz/ct182/v5_20251106/PROCESSED/NC/ct182-865F-24_hr1_prof_PROCESSED.nc,ct182-865F-24,16,0.010032401,0.008585101,0.0076387,0.0027843,0.000336501,0.049726315,57.561203
/Volumes/Data/Work/SEALTAGS/Prydz/ct182/v5_20251106/PROCESSED/NC/ct182-865F-24_hr1_prof_PROCESSED.nc,ct182-865F-24,17,0.012428002,0.009991333,0.008510668,0.003352,0.000480667,0.054466665,55.18533325
/Volumes/Data/Work/SEALTAGS/Prydz/ct182/v5_20251106/PROCESSED/NC/ct182-865F-24_hr1_prof_PROCESSED.nc,ct182-865F-24,31,0.01336332,0.011667715,0.009917347,0.003049656,0.000380132,0.046880066,55.62286758
/Volumes/Data/Work/SEALTAGS/Prydz/ct182/v5_20251106/PROCESSED/NC/ct182-865F-24_hr1_prof_PROCESSED.nc,ct182-865F-24,52,0.011087779,0.009792667,0.008812668,0.00289089,0.000359335,0.049680002,49.64450073
/Volumes/Data/Work/SEALTAGS/Prydz/ct182/v5_20251106/PROCESSED/NC/ct182-865F-24_hr1_prof_PROCESSED.nc,ct182-865F-24,53,0.010485101,0.009278702,0.008092901,0.002398101,0.000272701,0.045808695,49.54303741
/Volumes/Data/Work/SEALTAGS/Prydz/ct182/v5_20251106/PROCESSED/NC/ct182-865F-24_hr1_prof_PROCESSED.nc,ct182-865F-24,54,0.0100215,0.008869167,0.007517667,0.002149167,0.000248335,0.04332,49.33475113
/Volumes/Data/Work/SEALTAGS/Prydz/ct182/v5_20251106/PROCESSED/NC/ct182-865F-24_hr1_prof_PROCESSED.nc,ct182-865F-24,83,0.006351156,0.005240956,0.005394193,0.003550171,0.000572734,0.089688897,38.93875504
/Volumes/Data/Work/SEALTAGS/Prydz/ct182/v5_20251106/PROCESSED/NC/ct182-865F-24_hr1_prof_PROCESSED.nc,ct182-865F-24,95,0.009013333,0.007861335,0.006794002,0.002060667,0.000248667,0.045850001,36.3219986
/Volumes/Data/Work/SEALTAGS/Prydz/ct182/v5_20251106/PROCESSED/NC/ct182-865F-24_hr1_prof_PROCESSED.nc,ct182-865F-24,139,0.00557916,0.004694061,0.004702825,0.002324103,0.000405092,0.071010843,29.44099998
/Volumes/Data/Work/SEALTAGS/Prydz/ct182/v5_20251106/PROCESSED/NC/ct182-865F-24_hr1_prof_PROCESSED.nc,ct182-865F-24,157,0.005605335,0.004614668,0.004372668,0.002099906,0.000334572,0.067573898,21.28503609
/Volumes/Data/Work/SEALTAGS/Prydz/ct182/v5_20251106/PROCESSED/NC/ct182-865F-24_hr1_prof_PROCESSED.nc,ct182-865F-24,159,0.006701201,0.005513201,0.004784401,0.002301201,0.000358801,0.062099993,21.35966492
/Volumes/Data/Work/SEALTAGS/Prydz/ct182/v5_20251106/PROCESSED/NC/ct182-865F-24_hr1_prof_PROCESSED.nc,ct182-865F-24,190,0.006527375,0.004696376,0.003671251,0.001644251,0.000292501,0.058547366,16.91617966
/Volumes/Data/Work/SEALTAGS/Prydz/ct182/v5_20251106/PROCESSED/NC/ct182-865F-24_hr1_prof_PROCESSED.nc,ct182-865F-24,191,0.006102376,0.00437275,0.003391876,0.001541251,0.000276625,0.058695242,16.92991447
/Volumes/Data/Work/SEALTAGS/Prydz/ct182/v5_20251106/PROCESSED/NC/ct182-866F-24_hr1_prof_PROCESSED.nc,ct182-866F-24,31,0.010826195,0.009094279,0.007681889,0.002382945,0.000289029,0.044559523,60.0450325
